primary_row_no,source_key,title,canonical_url,source_contract_count,all_contract_urls,proposed_cadence_class,proposed_source_publication_cadence,proposed_etl_refresh_interval,proposed_active_window_ist,proposed_holiday_or_closed_rule,proposed_empty_data_rule,proposed_fetch_group,current_live_panel_code_interval,evidence_status,official_evidence_url,reviewer_correction,reviewer_notes
128,eia_steo_opec_supply,EIA STEO OPEC and OPEC+ Supply,https://www.eia.gov/outlooks/steo/outlook.php,2,https://www.eia.gov/outlooks/steo/outlook.php | https://www.eia.gov/outlooks/steo/archives/{monyy}_base.xlsx,DAILY_OR_CHANGE_DETECT,Official EIA Short-Term Energy Outlook workbook publishes monthly,1 day,00:00-23:59 IST daily,Continue one daily change check through weekends around the monthly release window and retain the latest forecast vintage,Missing workbook invalid ZIP missing 3ctab or zero positive OPEC supply rows is WAIT; never overwrite last populated vintage,EIA_STEO_OPEC_SUPPLY_WORKBOOK,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.eia.gov/outlooks/steo/outlook.php,,Official supply and production context only; never relabel as quota; informational and zero-score
129,opec_production_adjustment,OPEC+ Production Adjustment Releases,https://www.opec.org/pr-detail/604-16-june-2026.html,4,https://www.opec.org/pr-detail/604-16-june-2026.html | https://www.opec.org/pr-detail/1779602-3-may-2026.html | https://www.opec.org/pr-detail/597-5-april-2026.html | https://www.opec.org/pr-detail/1619593-1-march-2026.html,EVENT_DRIVEN_SLOW,Official OPEC+ production-adjustment releases publish after participating-country meetings,1 day,00:00-23:59 IST daily,Continue one daily change check on weekends because meetings and releases can occur outside exchange sessions,Missing aggregate adjustment amount meeting date or effective month is WAIT; country quota values are never inferred,OPEC_PRODUCTION_ADJUSTMENT_RELEASE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.opec.org/pr-detail/604-16-june-2026.html,,Official aggregate policy event; country table values remain unavailable unless machine-readable evidence exists; informational and zero-score
130,bse_financial_results_xbrl,BSE Financial Results XBRL Filing Index,https://api.bseindia.com/BseIndiaAPI/api/Corp_FinanceResult_ng_new/w?SCRIP_CD=&FlagDur=4&HFQ=&ISUBGROUP_CODE=&segment=C,2,https://www.bseindia.com/corporates/comp_results.aspx | https://api.bseindia.com/BseIndiaAPI/api/Corp_FinanceResult_ng_new/w?SCRIP_CD=&FlagDur=4&HFQ=&ISUBGROUP_CODE=&segment=C,EVENT_DRIVEN,Official BSE financial-result filings can publish during or after market hours,30 minutes during results season; 2 hours otherwise,08:00-23:30 IST daily,Continue reduced checks on weekends because corporate filings can arrive outside trading sessions,Wrong schema or zero dated XBRL filing rows is WAIT; never overwrite last populated index,BSE_FINANCIAL_XBRL_INDEX,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.bseindia.com/corporates/comp_results.aspx,,One-month market-wide filing index; linked inline-XBRL facts require bounded second-stage ingestion; informational and zero-score
131,bse_shareholding_pattern,BSE Shareholding Pattern Filing Index,https://api.bseindia.com/BseIndiaAPI/api/Corp_Shareholding_ng/w?scripcode=&flag=5&indtype=,2,https://www.bseindia.com/corporates/shareholding-pattern | https://api.bseindia.com/BseIndiaAPI/api/Corp_Shareholding_ng/w?scripcode=&flag=5&indtype=,EVENT_DRIVEN_SLOW,Official quarterly shareholding filings publish on issuer filing events,2 hours,08:00-23:30 IST daily,Continue reduced checks on weekends and retain the latest dated filing index,Wrong schema or zero dated XBRL filing rows is WAIT; never infer holding percentages from index metadata,BSE_SHAREHOLDING_XBRL_INDEX,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.bseindia.com/corporates/shareholding-pattern,,Three-month market-wide filing index; detail percentages require context-aware XBRL ingestion; informational and zero-score
132,rbi_tbill_yield,RBI Treasury-Bill Auction Yields,https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx,2,https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx | https://www.rbi.org.in/pressreleases_rss.xml,WEEKLY_RELEASE,Full 91/182/364-day Treasury-bill auction results normally publish weekly after auction,4 hours during expected release day; 1 day otherwise,10:00-22:00 IST on scheduled auction/result days,On holidays retain the last official auction date and never relabel it as fetched today,Missing exact release link or incomplete three-tenor table is WAIT; preserve last populated auction,RBI_TBILL_PRESS_RELEASE_DISCOVERY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx,,Official auction yield context; weekly not live; informational and zero-score
133,screener_in_fii_holding_change,Screener.in FII Holding Change,https://www.screener.in/screens/343087/fii-buying/,1,https://www.screener.in/screens/343087/fii-buying/,QUARTERLY_RELEASE,Third-party FII hold % and change update when shareholding screens refresh,1 day,00:00-23:59 IST daily,On weekends retain last populated name list and never relabel it as live FII tape,Missing table or zero name rows is WAIT; never invent tickers,SCREENER_IN_FII_HOLDING_HTML,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.screener.in/screens/343087/fii-buying/,,Third-party company-name FII hold-change; not official daily FII tape; informational and zero-score
134,tickertape_fii_holding_change_3m,Tickertape FII Holding Change 3M,https://api.tickertape.in/screener/query,2,https://api.tickertape.in/screener/query | https://www.tickertape.in/stocks/collections/fii-buying-stocks,QUARTERLY_RELEASE,Third-party 3-month FII holding-change screen updates with quarterly ownership,1 day,00:00-23:59 IST daily,On weekends retain last populated ticker list and never relabel it as live FII tape,Missing results or zero tickers is WAIT,TICKERTAPE_FII_HOLDING_QUERY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.tickertape.in/stocks/collections/fii-buying-stocks,,Third-party ticker plus 3M FII hold change; not official daily FII tape; informational and zero-score
135,dhan_fii_holding_change,Dhan FII Holding Change,https://ow-scanx-analytics.dhan.co/customscan/fetchdt,2,https://ow-scanx-analytics.dhan.co/customscan/fetchdt | https://dhan.co/stocks/market/fii-buying-stocks/,QUARTERLY_RELEASE,Third-party FII holding-change scan updates with quarterly ownership,1 day,00:00-23:59 IST daily,On weekends retain last populated ticker list and never relabel it as live FII tape,Missing data or zero tickers is WAIT,DHAN_FII_HOLDING_CUSTOMSCAN,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://dhan.co/stocks/market/fii-buying-stocks/,,Third-party ticker plus FIIHLDChagPer; not official daily FII tape; informational and zero-score
136,equitymaster_fii_buys_reference,Equitymaster Institutional Buy Screen,https://www.equitymaster.com/stock-screener/stocks-recently-bought-by-institutional-investors,1,https://www.equitymaster.com/stock-screener/stocks-recently-bought-by-institutional-investors,QUARTERLY_RELEASE,Third-party institutional-buy HTML screen; Cloudflare may block,1 day,00:00-23:59 IST daily,On weekends or Cloudflare block retain last populated names and never relabel as live FII tape,Challenge page or empty table is WAIT; never invent tickers,EQUITYMASTER_FII_BUYS_HTML,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.equitymaster.com/stock-screener/stocks-recently-bought-by-institutional-investors,,Third-party name-first institutional-buy screen; not official daily FII tape; informational and zero-score
137,nse_esm,NSE Enhanced Surveillance Measure (ESM),https://www.nseindia.com/api/reportESM,2,https://www.nseindia.com/api/reportESM | https://www.nseindia.com/reports/esm,DAILY_OR_CHANGE_DETECT,Official ESM membership is reviewed weekly and can change by exchange notice,4 hours,06:00-22:00 IST daily,Keep the latest dated official list through weekends; never relabel it as same-day flow,A schema-valid empty list is VALID_EMPTY; blocked malformed or undated responses are failure,NSE_ESM_OFFICIAL_API,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.nseindia.com/reports/esm,,Official stock-safety restriction; never a directional vote
138,nse_price_bands,NSE Complete Price-Band Classification,https://www.nseindia.com/all-reports,2,https://www.nseindia.com/all-reports | https://nsearchives.nseindia.com/content/equities/sec_list_{ddmmyyyy}.csv,DAILY_EOD,One official complete symbol/series price-band classification per NSE trading day,30 minutes during release window,06:00-09:00 and 16:00-22:00 IST on NSE trading days,On weekends and holidays retain the latest trading-day file,Zero rows unknown bands HTML or wrong columns are failure and cannot overwrite last good,NSE_COMPLETE_PRICE_BAND_LIST,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.nseindia.com/all-reports,,Classification supplies band percent; exact boundary geometry requires aligned reference price and remains WAIT when unavailable
139,nse_auction_securities,NSE Periodic Call Auction Illiquid Securities,https://www.nseindia.com/static/regulations/periodic-call-auction-illiquid-securities,2,https://www.nseindia.com/static/regulations/periodic-call-auction-illiquid-securities | https://nsearchives.nseindia.com/web/mediaattachment/{yyyy-mm}/contract_mas_illiquid_sec_{date}_{timestamp}.xls,DAILY_OR_CHANGE_DETECT,Official list is normally quarterly but may be replaced by exchange notice,1 day,00:00-23:59 IST daily,Retain the latest official dated workbook until a newer publication appears,Explicit NIL under Symbol/Series is VALID_EMPTY; HTML unreadable workbook or silent zero rows are failure,NSE_PERIODIC_CALL_AUCTION_LIST,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.nseindia.com/static/regulations/periodic-call-auction-illiquid-securities,,Do not confuse this with settlement auction or SLB auction files
